emoji,infinitive,english,french,perfectum,imperfectum,sentence_singular_nl,sentence_singular_en,sentence_singular_fr,sentence_plural_nl,sentence_plural_en,sentence_plural_fr
👂,horen,to hear,entendre,heeft/hebben gehoord,hoorde · hoorden,Ik hoorde een geluid.,I heard a sound.,J'ai entendu un bruit.,Zij hoorden muziek.,They heard music.,Elles entendaient de la musique.
🏷️,noemen,to call,nommer,heeft/hebben genoemd,noemde · noemden,Hij noemde zijn voorwaarden.,He named his conditions.,Il a posé ses conditions.,Wij noemden drie opties.,We named three options.,Nous avons cité trois options.
🤔,kiezen,to choose,choisir,heeft/hebben gekozen,koos · kozen,Ik koos voor de blauwe.,I chose the blue one.,J'ai choisi le bleu.,Zij kozen een andere route.,They chose another route.,Elles ont pris un autre itinéraire.
📉,verliezen,to lose,perdre,heeft/hebben verloren,verloor · verloren,Hij verloor zijn sleutel.,He lost his key.,Il a perdu sa clé.,Zij verloren de wedstrijd.,They lost the match.,Elles ont perdu le match.
🏆,winnen,to win,gagner,heeft/hebben gewonnen,won · wonnen,Zij won de prijs.,She won the prize.,Elle a gagné le prix.,Zij wonnen samen.,They won together.,Elles ont gagné ensemble.
🪢,trekken,to pull,tirer,heeft/hebben getrokken,trok · trokken,Ik trok de deur open.,I pulled the door open.,J'ai ouvert la porte en tirant.,Zij trokken aan het touw.,They pulled the rope.,Elles tiraient sur la corde.
👕,dragen,to carry,porter,heeft/hebben gedragen,droeg · droegen,Hij droeg een zware tas.,He carried a heavy bag.,Il portait un sac lourd.,Zij droegen traditionele kleding.,They wore traditional clothes.,Elles portaient des habits traditionnels.
💔,breken,to break,casser,heeft/hebben gebroken,brak · braken,Het glas brak.,The glass broke.,Le verre s'est cassé.,Zij braken een record.,They broke a record.,Elles ont battu un record.
✂️,snijden,to cut,couper,heeft/hebben gesneden,sneed · sneden,Ik sneed brood.,I cut bread.,J'ai coupé le pain.,Zij sneden de groenten.,They cut the vegetables.,Elles ont coupé les légumes.
✈️,vliegen,to fly,voler,is/zijn gevlogen,vloog · vlogen,Hij vloog naar Parijs.,He flew to Paris.,Il a pris l'avion pour Paris.,Zij vlogen eerst naar Rome.,They first flew to Rome.,Elles sont d'abord allées à Rome.
🏊,zwemmen,to swim,nager,heeft/hebben gezwommen,zwom · zwommen,Ik zwom in zee.,I swam in the sea.,J'ai nagé en mer.,Zij zwommen elke zomer.,They swam every summer.,Elles nageaient chaque été.
🚗,rijden,to drive,conduire,heeft/is gereden,reed · reden,Ik reed naar werk.,I drove to work.,Je suis allé au travail en voiture.,Zij reden te hard.,They drove too fast.,Elles roulaient trop vite.
🚲,fietsen,to cycle,faire du vélo,is/zijn gefietst,fietste · fietsten,Jij fietste elke dag.,You cycled every day.,Tu faisais du vélo chaque jour.,Zij fietsten naar school.,They cycled to school.,Elles allaient à l'école à vélo.
🧳,reizen,to travel,voyager,heeft/hebben gereisd,reisde · reisden,Hij reisde veel voor werk.,He travelled a lot for work.,Il voyageait beaucoup pour le travail.,Zij reisden door Europa.,They travelled through Europe.,Elles ont voyagé en Europe.
🏛️,bezoeken,to visit,rendre visite à,heeft/hebben bezocht,bezocht · bezochten,Ik bezocht mijn tante.,I visited my aunt.,J'ai rendu visite à ma tante.,Zij bezochten het museum.,They visited the museum.,Elles ont visité le musée.
🤝,ontmoeten,to meet,rencontrer,heeft/hebben ontmoet,ontmoette · ontmoetten,Wij ontmoetten elkaar daar.,We met each other there.,Nous nous y sommes rencontrés.,Zij ontmoetten oude vrienden.,They met old friends.,Elles ont revu de vieux amis.
🙏,bedanken,to thank,remercier,heeft/hebben bedankt,bedankte · bedankten,Ik bedankte haar voor de hulp.,I thanked her for the help.,Je l'ai remerciée pour son aide.,Wij bedankten iedereen.,We thanked everyone.,Nous avons remercié tout le monde.
📏,passen,to fit,aller / convenir,heeft/hebben gepast,paste · pasten,De jas paste perfect.,The coat fit perfectly.,Le manteau allait parfaitement.,De schoenen pasten niet meer.,The shoes no longer fit.,Les chaussures n'allaient plus.
🎯,missen,to miss,manquer / rater,heeft/hebben gemist,miste · misten,Ik miste de trein.,I missed the train.,J'ai raté le train.,Zij misten hun familie.,They missed their family.,Elles manquaient leur famille.
⏳,wachten,to wait,attendre,heeft/hebben gewacht,wachtte · wachtten,Ik wachtte op de bus.,I waited for the bus.,J'attendais le bus.,Zij wachtten een uur.,They waited an hour.,Elles ont attendu une heure.
👥,lijken,to seem,sembler,heeft/hebben geleken,leek · leken,Het leek een goed idee.,It seemed like a good idea.,Ça semblait une bonne idée.,Zij leken moe.,They seemed tired.,Elles avaient l'air fatiguées.
❤️‍🩹,voelen,to feel,se sentir,heeft/hebben gevoeld,voelde · voelden,Ik voelde me beter.,I felt better.,Je me sentais mieux.,Zij voelden de kou.,They felt the cold.,Elles sentaient le froid.
❤️,leven,to live,vivre,heeft/hebben geleefd,leefde · leefden,Hij leefde lang en gelukkig.,He lived long and happily.,Il a vécu longtemps et heureusement.,Zij leefden in armoede.,They lived in poverty.,Elles vivaient dans la pauvreté.
⚰️,sterven,to die,mourir,is/zijn gestorven,stierf · stierven,Hij stierf vorig jaar.,He died last year.,Il est mort l'année dernière.,Zij stierven in vrede.,They died in peace.,Elles sont mortes en paix.
💒,trouwen,to marry,se marier,is/zijn getrouwd,trouwde · trouwden,Zij trouwde in juni.,She got married in June.,Elle s'est mariée en juin.,Zij trouwden in het buitenland.,They got married abroad.,Elles se sont mariées à l'étranger.
😂,lachen,to laugh,rire,heeft/hebben gelachen,lachte · lachten,Ik lachte hardop.,I laughed out loud.,J'ai ri aux éclats.,Zij lachten om het grapje.,They laughed at the joke.,Elles riaient de la plaisanterie.
💃,dansen,to dance,danser,heeft/hebben gedanst,danste · dansten,Hij danste met haar.,He danced with her.,Il a dansé avec elle.,Zij dansten tot middernacht.,They danced until midnight.,Elles ont dansé jusqu'à minuit.
🎤,zingen,to sing,chanter,heeft/hebben gezongen,zong · zongen,Ik zong een lied.,I sang a song.,J'ai chanté une chanson.,Zij zongen samen in het koor.,They sang together in the choir.,Elles chantaient ensemble dans le chœur.
🤸,springen,to jump,sauter,is/zijn gesprongen,sprong · sprongen,Hij sprong over de plas.,He jumped over the puddle.,Il a sauté par-dessus la flaque.,Zij sprongen van de duikplank.,They jumped from the diving board.,Elles ont sauté du plongeoir.
⬇️,vallen,to fall,tomber,is/zijn gevallen,viel · vielen,Ik viel op het ijs.,I fell on the ice.,Je suis tombé sur la glace.,Zij vielen bijna.,They almost fell.,Elles ont failli tomber.
⏰,opstaan,to get up,se lever,is/zijn opgestaan,stond op · stonden op,Ik stond vroeg op.,I got up early.,Je me suis levé tôt.,Zij stonden laat op.,They got up late.,Elles se sont levées tard.
🛬,aankomen,to arrive,arriver,is/zijn aangekomen,kwam aan · kwamen aan,De trein kwam te laat aan.,The train arrived too late.,Le train est arrivé en retard.,Zij kwamen veilig aan.,They arrived safely.,Elles sont arrivées sans encombre.
👋,weggaan,to leave,partir,is/zijn weggegaan,ging weg · gingen weg,Hij ging stilletjes weg.,He left quietly.,Il est parti discrètement.,Zij gingen zonder afscheid weg.,They left without saying goodbye.,Elles sont parties sans dire au revoir.
🎒,meenemen,to take along,emporter,heeft/hebben meegenomen,nam mee · namen mee,Ik nam mijn laptop mee.,I took my laptop along.,J'ai pris mon ordinateur portable.,Zij namen snacks mee.,They took snacks along.,Elles ont apporté des snacks.
👂,verstaan,to understand,comprendre (parler),heeft/hebben verstaan,verstond · verstonden,Ik verstond hem niet.,I did not understand him.,Je ne le comprenais pas.,Zij verstonden elkaar niet.,They did not understand each other.,Elles ne se comprenaient pas.
🧩,herinneren,to remember,se souvenir,heeft/hebben herinnerd,herinnerde · herinnerden,Hij herinnerde de datum.,He remembered the date.,Il rappelait la date.,Zij herinnerden zich alles.,They remembered everything.,Elles se souvenaient de tout.
🏋️,oefenen,to practise,s'entraîner,heeft/hebben geoefend,oefende · oefenden,Ik oefende elke dag.,I practised every day.,Je m'entraînais chaque jour.,Zij oefenden voor het concert.,They practised for the concert.,Elles répétaient pour le concert.
💤,dromen,to dream,rêver,heeft/hebben gedroomd,droomde · droomden,Ik droomde van vakantie.,I dreamed of holiday.,Je rêvais de vacances.,Zij droomden van succes.,They dreamed of success.,Elles rêvaient de réussir.
📋,bestellen,to order,commander,heeft/hebben besteld,bestelde · bestelden,Ik bestelde koffie.,I ordered coffee.,J'ai commandé un café.,Zij bestelden drie pizza's.,They ordered three pizzas.,Elles ont commandé trois pizzas.
🎯,bereiken,to reach,atteindre,heeft/hebben bereikt,bereikte · bereikten,Hij bereikte het doel.,He reached the goal.,Il a atteint son objectif.,Zij bereikten de top.,They reached the top.,Elles ont atteint le sommet.
⚖️,beslissen,to decide,décider,heeft/hebben beslist,besliste · beslisten,Zij besliste alleen.,She decided alone.,Elle a décidé seule.,Zij beslisten samen.,They decided together.,Elles ont décidé ensemble.
🏗️,bouwen,to build,construire,heeft/hebben gebouwd,bouwde · bouwden,Wij bouwden een schuur.,We built a shed.,Nous avons construit une remise.,Zij bouwden een nieuw huis.,They built a new house.,Elles ont construit une nouvelle maison.
