infinitive	english	perfectum	imperfectum	sentence_singular_nl	sentence_singular_en	sentence_plural_nl	sentence_plural_en
studeren	to study	heeft/hebben gestudeerd	studeerde · studeerden	Jij studeerde medicijnen.	You studied medicine.	Zij studeerden in Leiden.	They studied in Leiden.
wonen	to live	heeft/hebben gewoond	woonde · woonden	Ik woonde bij mijn ouders.	I lived with my parents.	Wij woonden jaren in Utrecht.	We lived in Utrecht for years.
lezen	to read	heeft/hebben gelezen	las · lazen	Ik las elke avond een boek.	I read a book every evening.	Wij lazen het hele artikel.	We read the whole article.
schrijven	to write	heeft/hebben geschreven	schreef · schreven	Hij schreef een brief.	He wrote a letter.	Zij schreven hun naam.	They wrote their name.
spreken	to speak	heeft/hebben gesproken	sprak · spraken	Ik sprak Nederlands met haar.	I spoke Dutch with her.	Wij spraken af bij het station.	We arranged to meet at the station.
luisteren	to listen	heeft/hebben geluisterd	luisterde · luisterden	Jij luisterde naar de radio.	You listened to the radio.	Zij luisterden naar de leraar.	They listened to the teacher.
praten	to talk	heeft/hebben gepraat	praatte · praatten	Ik praatte met de buurman.	I talked with the neighbour.	Wij praatten uren over politiek.	We talked for hours about politics.
bellen	to call	heeft/hebben gebeld	belde · belden	Ik belde je gisteren.	I called you yesterday.	Zij belden elke week.	They called every week.
zoeken	to search	heeft/hebben gezocht	zocht · zochten	Hij zocht zijn sleutel.	He looked for his key.	Zij zochten een oplossing.	They looked for a solution.
krijgen	to get	heeft/hebben gekregen	kreeg · kregen	Ik kreeg een bericht.	I got a message.	Wij kregen goed nieuws.	We got good news.
gebruiken	to use	heeft/hebben gebruikt	gebruikte · gebruikten	Jij gebruikte mijn pen.	You used my pen.	Zij gebruikten oude kaarten.	They used old maps.
proberen	to try	heeft/hebben geprobeerd	probeerde · probeerden	Ik probeerde het opnieuw.	I tried again.	Wij probeerden rustig te blijven.	We tried to stay calm.
hopen	to hope	heeft/hebben gehoopt	hoopte · hoopten	Ik hoopte op goed weer.	I hoped for good weather.	Zij hoopten op een betere baan.	They hoped for a better job.
geloven	to believe	heeft/hebben geloofd	geloofde · geloofden	Hij geloofde haar verhaal.	He believed her story.	Wij geloofden het niet.	We did not believe it.
begrijpen	to understand	heeft/hebben begrepen	begreep · begrepen	Ik begreep de vraag niet.	I did not understand the question.	Zij begrepen elkaar goed.	They understood each other well.
vergeten	to forget	heeft/hebben vergeten	vergat · vergaten	Ik vergat mijn paraplu.	I forgot my umbrella.	Zij vergaten de afspraak.	They forgot the appointment.
beginnen	to begin	is/zijn begonnen	begon · begonnen	Het begon te regenen.	It started to rain.	Wij begonnen op tijd.	We started on time.
eten	to eat	heeft/hebben gegeten	at · aten	Ik at een broodje kaas.	I ate a cheese sandwich.	Wij aten samen in het restaurant.	We ate together in the restaurant.
drinken	to drink	heeft/hebben gedronken	dronk · dronken	Hij dronk koffie zonder suiker.	He drank coffee without sugar.	Zij dronken water.	They drank water.
slapen	to sleep	heeft/hebben geslapen	sliep · sliepen	Ik sliep slecht vannacht.	I slept badly last night.	Zij sliepen op de bank.	They slept on the sofa.
koken	to cook	heeft/hebben gekookt	kookte · kookten	Ik kookte pasta.	I cooked pasta.	Zij kookten voor twaalf personen.	They cooked for twelve people.
helpen	to help	heeft/hebben geholpen	hielp · hielpen	Hij hielp met het huiswerk.	He helped with the homework.	Wij hielpen onze buren.	We helped our neighbours.
vragen	to ask	heeft/hebben gevraagd	vroeg · vroegen	Ik vroeg om de weg.	I asked for directions.	Zij vroegen naar de prijs.	They asked about the price.
antwoorden	to answer	heeft/hebben geantwoord	antwoordde · antwoordden	Jij antwoordde op de mail.	You replied to the email.	Wij antwoordden op alle vragen.	We answered all the questions.
vertellen	to tell	heeft/hebben verteld	vertelde · vertelden	Zij vertelde een verhaal.	She told a story.	Zij vertelden het nieuws.	They told the news.
horen	to hear	heeft/hebben gehoord	hoorde · hoorden	Ik hoorde een geluid.	I heard a sound.	Zij hoorden muziek.	They heard music.
noemen	to call	heeft/hebben genoemd	noemde · noemden	Hij noemde zijn voorwaarden.	He named his conditions.	Wij noemden drie opties.	We named three options.
kiezen	to choose	heeft/hebben gekozen	koos · kozen	Ik koos voor de blauwe.	I chose the blue one.	Zij kozen een andere route.	They chose another route.
verliezen	to lose	heeft/hebben verloren	verloor · verloren	Hij verloor zijn sleutel.	He lost his key.	Zij verloren de wedstrijd.	They lost the match.
winnen	to win	heeft/hebben gewonnen	won · wonnen	Zij won de prijs.	She won the prize.	Zij wonnen samen.	They won together.
trekken	to pull	heeft/hebben getrokken	trok · trokken	Ik trok de deur open.	I pulled the door open.	Zij trokken aan het touw.	They pulled the rope.
dragen	to carry	heeft/hebben gedragen	droeg · droegen	Hij droeg een zware tas.	He carried a heavy bag.	Zij droegen traditionele kleding.	They wore traditional clothes.
breken	to break	heeft/hebben gebroken	brak · braken	Het glas brak.	The glass broke.	Zij braken een record.	They broke a record.
snijden	to cut	heeft/hebben gesneden	sneed · sneden	Ik sneed brood.	I cut bread.	Zij sneden de groenten.	They cut the vegetables.
vliegen	to fly	is/zijn gevlogen	vloog · vlogen	Hij vloog naar Parijs.	He flew to Paris.	Zij vlogen eerst naar Rome.	They first flew to Rome.
zwemmen	to swim	heeft/hebben gezwommen	zwom · zwommen	Ik zwom in zee.	I swam in the sea.	Zij zwommen elke zomer.	They swam every summer.
rijden	to drive	heeft/is gereden	reed · reden	Ik reed naar werk.	I drove to work.	Zij reden te hard.	They drove too fast.
fietsen	to cycle	is/zijn gefietst	fietste · fietsten	Jij fietste elke dag.	You cycled every day.	Zij fietsten naar school.	They cycled to school.
reizen	to travel	heeft/hebben gereisd	reisde · reisden	Hij reisde veel voor werk.	He travelled a lot for work.	Zij reisden door Europa.	They travelled through Europe.
bezoeken	to visit	heeft/hebben bezocht	bezocht · bezochten	Ik bezocht mijn tante.	I visited my aunt.	Zij bezochten het museum.	They visited the museum.
ontmoeten	to meet	heeft/hebben ontmoet	ontmoette · ontmoetten	Wij ontmoetten elkaar daar.	We met each other there.	Zij ontmoetten oude vrienden.	They met old friends.
bedanken	to thank	heeft/hebben bedankt	bedankte · bedankten	Ik bedankte haar voor de hulp.	I thanked her for the help.	Wij bedankten iedereen.	We thanked everyone.
passen	to fit	heeft/hebben gepast	paste · pasten	De jas paste perfect.	The coat fit perfectly.	De schoenen pasten niet meer.	The shoes no longer fit.
missen	to miss	heeft/hebben gemist	miste · misten	Ik miste de trein.	I missed the train.	Zij misten hun familie.	They missed their family.
wachten	to wait	heeft/hebben gewacht	wachtte · wachtten	Ik wachtte op de bus.	I waited for the bus.	Zij wachtten een uur.	They waited an hour.
lijken	to seem	heeft/hebben geleken	leek · leken	Het leek een goed idee.	It seemed like a good idea.	Zij leken moe.	They seemed tired.
voelen	to feel	heeft/hebben gevoeld	voelde · voelden	Ik voelde me beter.	I felt better.	Zij voelden de kou.	They felt the cold.
leven	to live	heeft/hebben geleefd	leefde · leefden	Hij leefde lang en gelukkig.	He lived long and happily.	Zij leefden in armoede.	They lived in poverty.
sterven	to die	is/zijn gestorven	stierf · stierven	Hij stierf vorig jaar.	He died last year.	Zij stierven in vrede.	They died in peace.
trouwen	to marry	is/zijn getrouwd	trouwde · trouwden	Zij trouwde in juni.	She got married in June.	Zij trouwden in het buitenland.	They got married abroad.
lachen	to laugh	heeft/hebben gelachen	lachte · lachten	Ik lachte hardop.	I laughed out loud.	Zij lachten om het grapje.	They laughed at the joke.
dansen	to dance	heeft/hebben gedanst	danste · dansten	Hij danste met haar.	He danced with her.	Zij dansten tot middernacht.	They danced until midnight.
zingen	to sing	heeft/hebben gezongen	zong · zongen	Ik zong een lied.	I sang a song.	Zij zongen samen in het koor.	They sang together in the choir.
springen	to jump	is/zijn gesprongen	sprong · sprongen	Hij sprong over de plas.	He jumped over the puddle.	Zij sprongen van de duikplank.	They jumped from the diving board.
vallen	to fall	is/zijn gevallen	viel · vielen	Ik viel op het ijs.	I fell on the ice.	Zij vielen bijna.	They almost fell.
opstaan	to get up	is/zijn opgestaan	stond op · stonden op	Ik stond vroeg op.	I got up early.	Zij stonden laat op.	They got up late.
aankomen	to arrive	is/zijn aangekomen	kwam aan · kwamen aan	De trein kwam te laat aan.	The train arrived too late.	Zij kwamen veilig aan.	They arrived safely.
weggaan	to leave	is/zijn weggegaan	ging weg · gingen weg	Hij ging stilletjes weg.	He left quietly.	Zij gingen zonder afscheid weg.	They left without saying goodbye.
meenemen	to take along	heeft/hebben meegenomen	nam mee · namen mee	Ik nam mijn laptop mee.	I took my laptop along.	Zij namen snacks mee.	They took snacks along.
verstaan	to understand	heeft/hebben verstaan	verstond · verstonden	Ik verstond hem niet.	I did not understand him.	Zij verstonden elkaar niet.	They did not understand each other.
herinneren	to remember	heeft/hebben herinnerd	herinnerde · herinnerden	Hij herinnerde de datum.	He remembered the date.	Zij herinnerden zich alles.	They remembered everything.
oefenen	to practise	heeft/hebben geoefend	oefende · oefenden	Ik oefende elke dag.	I practised every day.	Zij oefenden voor het concert.	They practised for the concert.
dromen	to dream	heeft/hebben gedroomd	droomde · droomden	Ik droomde van vakantie.	I dreamed of holiday.	Zij droomden van succes.	They dreamed of success.
bestellen	to order	heeft/hebben besteld	bestelde · bestelden	Ik bestelde koffie.	I ordered coffee.	Zij bestelden drie pizza's.	They ordered three pizzas.
bereiken	to reach	heeft/hebben bereikt	bereikte · bereikten	Hij bereikte het doel.	He reached the goal.	Zij bereikten de top.	They reached the top.
beslissen	to decide	heeft/hebben beslist	besliste · beslisten	Zij besliste alleen.	She decided alone.	Zij beslisten samen.	They decided together.
bouwen	to build	heeft/hebben gebouwd	bouwde · bouwden	Wij bouwden een schuur.	We built a shed.	Zij bouwden een nieuw huis.	They built a new house.
